id,subj,code,name,desc,credits,CURover,CURdiff,CURwork
876,CEE,4800,Engineering Smart Cities,"",3,-1,-1,-1
877,CEE,4920,Engineers for a Sustainable World,The course includes project management and design skills to support ESW projects.  All assignments in the course are connected to the subject of the student's ESW project.  First-year students just joining a project team should wait until the fall of their sophomore year to take the course.  Sophomore and higher students just joining a team may enroll in the course.,3,-1,-1,-1
878,CEE,5021,Project in Environmental and Water Resources Systems,Project-based course in the area of environmental and water resources under the guidance of a faculty member.,3,-1,-1,-1
879,CEE,5031,Project in Environmental Fluid Mechanics and Hydrology,Project-based course in the area of environmental fluid mechanics and hydrology under the guidance of a faculty member.,3,-1,-1,-1
880,CEE,5041,Project in Geotechnical Engineering,Design of major geotechnical engineering project. Planning and preliminary design during fall semester; final design completed in January intersession.,3,-1,-1,-1
881,CEE,5050,Interdisciplinary Master of Engineering Project,"Students will participate in a community-engaged, interdisciplinary Master of Engineering (M.Eng.) project to tackle pressing technological and societal challenges surrounding infrastructure, with a specific focus on energy and environmental systems. For example, in 2018/19, projects were focused on Puerto Rico post Hurricane Maria. As part of this course, you will work closely with local stakeholders to hear their perspective on prior challenges and future needs. Each subsequent year will then build upon the prior year's activity to tackle large, complex issues over multiple years. During the course, you will contribute to developing a library of monitoring tools and algorithms which will persist over time and then be applied to solve new challenges with each course iteration.",1,-1,-1,-1
882,CEE,5051,Project in Environmental Engineering,Design project related to Environmental Engineering.,3,-1,-1,-1
883,CEE,5061,Project in Transportation Engineering,Systems analysis of a substantial transportation service.,3,-1,-1,-1
884,CEE,5240,Model Based Systems Engineering,"Fundamental ideas of systems engineering, and their application to design and development of various types of engineered systems. Defining system requirements, creating effective project teams, mathematical tools for system analysis and control, testing and evaluation, economic considerations, and the system life cycle. Content utilizes model-based systems engineering, which is the integration of systems modeling tools, such as SysML, with tools for systems analysis, such as Matlab and Modelica. The vision for this integration is the ability to create and analyze complete parametric representations of complex products and systems. These systems make it possible to investigate the impact of changing one aspect of a design on all other aspects of design and performance. This course will familiarize students with these modeling languages. Off-campus students must provide their own Windows 7, internet-connected, computer with administrator access in order to install the commercial software used in this course.",4,-1,-1,-1
885,CEE,5735,Mathematical Modeling of Natural and Engineered Systems,"This course builds from previously studied fundamental concepts to uncover strategies for using math to describe natural and engineered systems that impact the human experience (e.g. infrastructure systems, subsurface structures and networks, bacterial colonies, traffic networks, reservoir systems, etc.) Specifically, selected approaches for mechanistic descriptions (""clear box"" models), data-driven descriptions (""black box"" models), and hybrids of these (""grey box"" models) will be covered: both through an introduction to foundational theory and also in computational implementation. In gaining experience in formulating their own mathematical models for real world phenomena, students will be better able to describe, study, and control the performance of natural and engineered systems in their professional lives.",3,-1,-1,-1
886,CEE,5900,Project Management,"Core graduate course in project management for people who will manage technical or engineering projects. Focuses both on the ""technical"" tools of project management (e.g., methods for planning, scheduling, and control) and the ""human"" side (e.g., forming a project team, managing performance, resolving conflicts), with somewhat greater emphasis on the latter.",4,1,1,4
887,CEE,5910,Engineering Management Project,"As Engineering Managers, you need to embrace both technical and business skills to tackle complex, sociotechnical challenges, while staying on top of the current pace of technological change. In this Engineering Management project course, we are bridging from your coursework to your role as an engineering manager. To get there, you will practice the tools, themes, and techniques learned in your Engineering Management coursework through the scaffolding of a large project. In CEE 5910, you will work in teams to lead and execute a project in collaboration with an industry partner. You will perform an intensive evaluation of some mixture of the technological and management aspects of a major engineering project or system, conducted with a team of students.",4,-1,-1,-1
888,CEE,5930,Data Analytics for Engineering Managers,"Big data is transforming organizations enabling vast improvements in operating efficiency, market identification and segmentation, and many other domains. This course focuses on data collection at all scales, the transformation of that data into knowledge using a variety of data analytic techniques, and the integration of that knowledge into system models for decision-making to better manage organizations. Expertise in R will be developed throughout this course.",4,-1,-1,-1
889,CEE,5950,Construction Planning and Operations,"Prepares students for responsibilities in overseeing the engineering and management of construction; on time-on budget. Emphasis is placed on the management processes for organizing, planning, and controlling the activities of complex development and construction programs. Students study the contracts for engineering, architecture, and construction; focusing on cost estimation and schedule control, responsibilities and risks, and the relationships among owners, designers, contractors, and suppliers. The potential for project disruption is discussed with special emphasis on dispute resolution methods.",3,-1,-1,-1
890,CEE,5980,Decision Framing and Analytics,"Framework to structure the way we think about decision situations that are complicated by uncertainty, complexity, and competing objectives. Specific decision analysis concepts and tools, such as decision trees, sensitivity analysis, value of information, and utility theory. Applications to all areas of engineering and life. Includes a group project to analyze a real-world decision.",3,-1,-1,-1
891,CEE,6015,Special Topics: Remote Sensing,Students may elect to undertake a project in remote sensing. The work is supervised by a professor in this subject area.,1,-1,-1,-1
892,CEE,6020,Seminar - Water Resources and Environmental Engineering,Graduate students and faculty members give informal lectures on various topics related to ongoing research in environmental engineering or water resources.,1,-1,-1,-1
893,CEE,6025,Special Topics in Environmental and Water Resources Systems Analysis,"Supervised study, by individuals or small groups, of one or more specialized topics not covered in regular courses.",1,-1,-1,-1
894,CEE,6035,Special Topics in Hydraulics,"Special topics in fluid mechanics, hydraulic engineering, or hydrology.",1,-1,-1,-1
895,CEE,6045,Special Topics in Geotechnical Engineering,Supervised study of special topics not covered in the formal courses.,1,-1,-1,-1
896,CEE,6055,Special Topics in Environmental Engineering,Supervised study in special topics not covered in formal courses.,1,-1,-1,-1
897,CEE,6065,Special Topics in Transportation,Advanced subject matter not covered in depth in other regular courses.,1,-1,-1,-1
898,CEE,6070,Seminar - Civil Infrastructure,Presents topics of current interest.,1,-1,-1,-1
899,CEE,6095,Special Topics in Engineering Management,Individually supervised study of one or more specialized topics not covered in regular courses.,1,-1,-1,-1
900,CEE,6100,Remote Sensing Fundamentals,"Introduction to the principles, equipment, and methods used in obtaining information about earth resources and the environment from aircraft or satellite sensors. Topics include: basic interactions of electromagnetic radiation with the earth, sensors, sensor and grounddata acquisition, data analysis and interpretation, and project design in the form of a proposal to use remote sensing for a specific application.",3,-1,-1,-1
901,CEE,6320,Hydrology,"Introduction to hydrology as a description of the water cycle and the role of water in the natural environment, and other issues for environmental engineers and scientists. Covers physical and statistical prediction methods for design related to hydrologic processes, hydrometeorology and evaporation, infiltration and base flow, surface runoff and channel routing, linear and nonlinear hydrologic systems, and storage routing and unit hydrograph methods.",3,-1,-1,-1
902,CEE,6370,Experimental Methods in Fluid Dynamics,"Introduction to experimental techniques, data collection, and data analysis, in particular as they pertain to fluid flows. Introduces theory and use of analog transducers, acoustic Doppler velocimetry (ADV), full-field (2-D) quantitative imaging techniques such as particle image velocimetry (PIV) and laser induced fluorescence (LIF). Additional topics include computer-based experimental control, analog and digital data acquisition, discrete sampling theory, digital signal processing, and uncertainty analysis. The canonical flows of the turbulent flat plate boundary layer and the neutrally buoyant turbulent round jet are introduced theoretically and the subject of three major laboratory experiments using ADV, PIV and LIF. There is a final group project on a flow of the students choosing.",4,-1,-1,-1
903,CEE,6400,Foundation Engineering,"Covers soil exploration, sampling, and in-situ testing techniques; bearing capacity, stress distribution, and settlement; design of shallow and deep foundations; compaction and site preparation; and seepage and dewatering of foundation excavations.",4,-1,-1,-1
904,CEE,6530,Water Chemistry for Environmental Engineering,"Covers principles of chemistry applicable to the understanding, design, and control of water and wastewater treatment processes and to reactions in receiving waters. Topics include chemical thermodynamics, reaction kinetics, acid-base equilibria, mineral precipitation/dissolution, and electrochemistry. Focuses on the mathematical description of chemical reactions relevant to engineered processes and natural systems, and the numerical or graphical solution of these problems.",3,-1,-1,-1
905,CEE,6560,Physical and Chemical Process,"Theoretical and engineering aspects of chemical and physical phenomena and processes applicable to the removal of impurities from water, wastewater, and industrial wastes and to their transformation in the environment. Analysis and design of treatment processes and systems.",3,-1,-1,-1
906,CEE,6565,Waste Water Processes and Resources Recovery,"Given the current state of the energy crisis and climate changes impacts, innovative approaches are needed in order to remediate, reduce and recover the energy and nutrient resources through various waste streams and to provide creative energy solutions that lead to self-sustaining wastewater treatment facilities. This course will cover fundamental theory of each unit operation process and design principles of major water and wastewater treatment processes. The topics will cover wastewater characteristics and evaluation methods, design flow and loads statistical analysis, process selection rationale, primary treatment processes, secondary treatment processes and tertiary and advanced treatment processes, and effluent and solids processing and disposal. In addition to the fundamentals of conventional wastewater processes, the course will also include the discussions on the emerging issues in water sustainability and advances in fundamental science and technology in integrating scientific principles, engineered processes, and systems analyses to address diverse challenges related to society's growing water needs and their nexus with energy and the environment. The course is designed to stimulate multi-disciplinary thinking and research among traditional areas of civil and environmental engineering, biology, chemistry, modeling, data science and others. Special projects will be designed to have students working in multi-disciplinary teams to develop sustainable solutions to meet the present and future water and resources needs of the society.",3,-1,-1,-1
907,CEE,6620,Analysis and Control of Transportation Systems and Networks,"This course will cover the development and application of mathematical models and optimization techniques for the analysis and control of transportation systems and networks, with a focus on urban mobility. We will cover topics related to network routing, dynamic traffic models, static and dynamic traffic assignment, traffic control mechanisms and mobility-on-demand systems (including their connections to mass transit). Students will be expected to implement the algorithms covered in class during homework assignments and complete a final project. Students in 6620 will also be required to review and critique research publication in the area of their project.",3,-1,-1,-1
908,CEE,6648,Sustainable Transportation Systems Design,"Graduate-level design course in transportation, with a focus on design of sustainable transportation systems. The perspective in the course is one of ""system design"", i.e., understanding the process of creating objectives, developing alternative designs and having models capable of representing the interactions among major elements of the overall system. We will also adopt a ""sustainable development"" or ""triple bottom line"" perspective, taking into account ecological and social as well as economic dimensions of transportation systems design. From this perspective, efficient transportation function achieves the economic objective, while quantifying and minimizing negative impacts addresses ecological and social goals. The interactions among the major system elements (vehicles, infrastructure, people, freight) occurs on networks, and we need to focus on how networks function. We will also study how resources are allocated and how capacity is maintained in networks. Systems design is examined from both a public sector perspective and from a private sector perspective.",3,-1,-1,-1
909,CEE,6660,Multiobjective Systems Engineering Under Uncertainty,"Exploration of engineering design frameworks that effectively exploit simulation, optimization, and uncertainty assessments when balancing large numbers of conflicting performance objectives. Students will learn and advance software frameworks that combine evolutionary multiobjective optimization, high performance computing, uncertainty modeling techniques, and visual design analytics. The primary focus will be improving multi-stakeholder design of complex engineered systems. Course concepts will be demonstrated using case studies and projects drawn from the disciplines of the students enrolled.",3,-1,-1,-1
910,CEE,6667,Transportation Energy Systems Module,"Energy technology module of CHEME 6660 covering transportation energy systems. Focuses on understanding the link between transportation demand and energy consumption and on how to build a path for a conversion to sustainable energy sources. Covers engineering systems tools for analyzing the interactions among the transportation, economic, energy, and environmental systems. Analytical tools from transportation economics and engineering will be covered to assess the energy consumption and environmental effects of long-term projects over complex, large-scale transportation systems.",1,-1,-1,-1
911,CEE,6730,Design of Concrete Structures,"Centered on the design of a multi-story building that is initially planned with masonry bearing walls and precast-prestressed concrete floors.  In the next phase the precast concrete is replaced with cast-in-place reinforced concrete.  Finally, masonry bearing walls are replaced with a reinforced concrete framing system. The course explores gravity loads, wind loads, and earthquake loads, and the behavior of individual members and the structure as a whole.",4,-1,-1,-1
912,CEE,6735,Characterization of Structural Materials Across Length Scales,"The goal of this graduate course is to familiarize students with advanced experimental and characterization techniques. The course will provide students a theoretical as well as a hands-on experience with sample preparation, testing and interpretation in order to encourage graduate students to use these techniques for their own research projects. The course will enable students to think critically about laboratory experiments and to interpret data holistically based on results obtained across multiple scales.",3,-1,-1,-1
913,CEE,6770,"Natural Hazards, Reliability, and Insurance","Essentials of probability theory, random functions, and statistics are introduced via simple examples. These concepts are applied to (1) construct probability models for natural hazards, e.g., earthquakes, wind speeds, hurricanes, and floods, (2) calibrate these models to observations, and (3) develop Monte Carlo algorithms for generating samples of natural hazards. The focus is on applications rather than theoretical arguments. Approximate methods are used to characterize probabilistically system responses to natural hazards. System responses and properties are used to assess performance by reliability metrics and estimate insurance premiums for damages caused by natural hazards. Grades are based on individual and group assignments, a midterm, and a final project. The final projects for CEE 6770 will be significantly more demanding than those for CEE 4770.",3,-1,-1,-1
914,CEE,6800,Engineering Smart Cities,"",3,-1,-1,-1
915,CEE,6910,Project Management,"Core graduate course in project management for people who will manage technical or engineering projects. Focuses both on the ""technical"" tools of project management (e.g., methods for planning, scheduling, and control) and the ""human"" side (e.g., forming a project team, managing performance, resolving conflicts), with somewhat greater emphasis on the latter.",4,-1,-1,-1
916,CEE,6930,Public Systems Modeling,"This course serves as an introduction to the art of model building, especially related to public sector planning and management issues.    The course also introduces the quantitative approach for identifying, evaluating and estimating the physical, economic, environmental, and social impacts of alternative decisions planners and managers are asked to make.",4,-1,-1,-1
917,CEE,6940,Research in Engineering Management,The student may select an area of investigation in engineering management. Results should be submitted to the instructor in charge in the form of a research report.,1,-1,-1,-1
918,CEE,7010,Research - Remote Sensing,"For students who want to study one particular area in depth. The work may take the form of laboratory investigation, field study, theoretical analysis, or development of design procedures.",1,-1,-1,-1
919,CEE,7020,Environmental and Water Resources Systems Analysis Research,Investigations of particular environmental or water resources systems problems.,1,-1,-1,-1
920,CEE,7030,Research in Environmental Fluid Mechanics and Hydrology,"The student may select an area of investigation in fluid mechanics, hydraulic engineering, or hydrology. The work may be either experimental or theoretical in nature. Results should be submitted to the instructor in charge in the form of a research report.",1,-1,-1,-1
921,CEE,7040,Research in Geotechnical Engineering,For students who want to pursue a particular geotechnical topic in considerable depth.,1,-1,-1,-1
922,CEE,7050,Research in Environmental Engineering,"For students who want to study a particular area in depth. The work may take the form of laboratory investigation, field study, theoretical analysis, or development of design and analysis procedures.",1,-1,-1,-1
923,CEE,7070,Research in Structural Engineering,Pursues a branch of structural engineering beyond what is covered in regular courses. Theoretical or experimental investigation of suitable problems.,1,-1,-1,-1
924,CEE,7073,Civil and Environmental Engineering Materials Project,Individual projects or reading and study assignments involving engineering materials.,1,-1,-1,-1
925,CEE,7360,Turbulence and Turbulent Mixing in Environmental Stratified Flows,"Fundamentals of stably stratified flows, stratified homogeneous turbulence (spectra, lengthscales, and timescales), kinematics of diapycnal mixing, basic turbulent flow processes in homogeneous and stratified fluids (shear layers, wakes, boundary layers, etc.), energy budget analysis, and parameterizations of geophysical turbulence. Additional topics may include fossil turbulence theory and vortex-internal wave decomposition in strongly stratified turbulence.",3,-1,-1,-1
926,CEE,8100,Thesis - Remote Sensing,The student selects a thesis research topic with the advice of the faculty member in charge and pursues it either independently or in conjunction with others working on the same topic.,1,-1,-1,-1
927,CEE,8200,Thesis - Environmental and Water Resource Systems,The student selects a thesis research topic with the advice of the faculty member in charge and pursues it either independently or in conjunction with others working on the same topic.,1,-1,-1,-1
928,CEE,8300,Thesis - Environmental Fluid Mechanics and Hydrology,The student selects a thesis research topic with the advice of the faculty member in charge and pursues it either independently or in conjunction with others working on the same topic.,1,-1,-1,-1
929,CEE,8400,Thesis - Geotechnical Engineering,The student selects a thesis research topic with the advice of the faculty member in charge and pursues it either independently or in conjunction with others working on the same topic.,1,-1,-1,-1
930,CEE,8500,Thesis - Environmental Engineering,The student selects a thesis research topic with the advice of the faculty member in charge and pursues it either independently or in conjunction with others working on the same topic.,1,-1,-1,-1
931,CEE,8600,Thesis - Transportation Systems Engineering,The student selects a thesis research topic with the advice of the faculty member in charge and pursues it either independently or in conjunction with others working on the same topic.,1,-1,-1,-1
932,CEE,8700,Thesis - Structural Engineering,The student selects a thesis research topic with the advice of the faculty member in charge and pursues it either independently or in conjunction with others working on the same topic.,1,-1,-1,-1
933,CEE,8800,Thesis - Civil Infrastructure Systems,The student selects a thesis research topic with the advice of the faculty member in charge and pursues it either independently or in conjunction with others working on the same topic.,1,-1,-1,-1
934,CHEM,1007,Academic Support for CHEM 2070,CHEM 1007 reviews material presented in CHEM 2070 lectures and also provides problem-solving strategies and practice during the discussion sections. This course is recommended for students who want to improve their chemistry problem-solving skills. CHEM 1007 is not a substitute for CHEM 2070 lectures and recitations.,1,5,2.8,1
935,CHEM,1057,Academic Support for CHEM 3570,"Reviews material presented in CHEM 3570 lectures and offers practice with CHEM 3570 material. Weekly reviews and problem solving sessions focus on the most important topics covered in lecture, and office hours held throughout the week by Learning Strategies Center tutors to help improve performance in CHEM 3570.",1,-1,-1,-1
936,CHEM,1150,The Language of Chemistry,"Fundamentals of chemistry will be introduced and applied to real world situations. Critical aspects of 21st century life depend on an informed voting public that can assiduously address scientific issues. The role of chemistry, the good and the bad, will be an increasingly important component of everyday life. The course seeks to prepare you to be an informed voter.",3,5,4,-1
937,CHEM,1560,Introduction to General Chemistry,"A one-semester introduction to fundamental topics in general chemistry, both qualitative and quantitative, with laboratory. CHEM 1560 prepares students for CHEM 1570; CHEM 1560 is not recommended for premedical or preveterinary students. Students planning to take CHEM 2080 should be enrolled in CHEM 2070 rather than CHEM 1560.",4,4,2,3
938,CHEM,2070,General Chemistry I,"Covers fundamental chemical principles, with considerable attention given to the quantitative aspects and techniques important for further work in chemistry.",4,3.2,4.1,4
939,CHEM,2090,Engineering General Chemistry,"Covers basic chemical concepts, such as reactivity and bonding of molecules, introductory quantum mechanics, and intermolecular forces in liquids and solids and gases. Attention will be focused on aspects and applications of chemistry most pertinent to engineering.",4,1.8,4,3.4
940,CHEM,2150,Honors General and Inorganic Chemistry,"Intensive systematic study of the laws and concepts of chemistry, with considerable emphasis on quantitative aspects. CHEM 2150 covers electronic structure of atoms, chemical bonding, thermodynamics, kinetics, and equilibrium. 2150 serves as an accelerated entry into organic chemistry in the Spring semester for students with a strong background in chemistry. Laboratory work covers qualitative and quantitative analysis, thermodynamics, kinetics transition metal chemistry, and spectroscopic techniques.",4,2.9,4.1,3.6
941,CHEM,2510,Introduction to Experimental Organic Chemistry,"Introduction to the synthesis, separation, characterization, and handling of materials, including the applications of different types of chromatography, extraction, crystallization, infrared spectroscopy, polarimetry, and others. An experiment is performed the first week of lab and to prepare for this lab students need to enroll in the course Canvas site and complete the appropriate pre-lab assignments outlined on that site before coming to the first lab.",2,3,3.4,4
942,CHEM,2770,Methods in Chemical Education,"CHEM 2770 is the teaching methods companion class to the CHEM 2070, 1070 suite of courses. CHEM 2770 students will co-lead weekly 2-hour sections of CHEM 1070 (w/20 enrolled students); meet in 2-hour group meetings to develop and refine teaching materials; attend a 1-hour discussion class on a current STEM pedagogical theory; and assess teaching progress for 1-hour (all activities on a weekly basis).",2,5,2,-1
943,CHEM,2870,Introductory Physical Chemistry,"Survey of the fundamental principles of physical chemistry, The course covers thermodynamics, chemical kinetics, enzyme kinetics, and the electronic structure of atoms and molecules. CHEM 2870 satisfies the minimum requirement for physical chemistry for the chemistry major.",3,-1,-1,-1
944,CHEM,3020,Honors Experimental Chemistry II,"Chemical and instrumental methods of analysis, including fluorescence spectroscopy, electrochemistry, UV-vis absorption spectroscopy, infrared spectroscopy, and gas chromatography.",4,-1,-1,-1
945,CHEM,3530,Principles of Organic Chemistry,"This course is designed for students in engineering or biologically related fields requiring only a single semester of organic chemistry above the freshman level. CHEM 3530 is taught at a sophomore level and it emphasizes structure, synthesis, reactions and reaction mechanisms, and properties of organic molecules.",4,-1,-1,-1
946,CHEM,3570,Organic Chemistry for the Life Sciences,"Study of the important classes of carbon compounds-including those encountered in the biological sciences. The course emphasizes their three-dimensional structures, mechanisms of their characteristic reactions, their synthesis, methods of identifying them, and their role in modern science and technology.",3,3.2,4.3,3
947,CHEM,3600,Honors Organic Chemistry II,Rigorous and systematic study of organic chemistry with a focus on molecules that have biological applications. The course emphasizes a mechanistic understanding of organic reactions and applies this knowledge toward complex systems such as amino acids and carbohydrates.,4,-1,-1,-1
948,CHEM,3890,Honors Physical Chemistry I,"CHEM 3890 - CHEM 3900 is a year-long sequence covering key topics in physical chemistry. CHEM 3890 introduces the use of mathematics and physics to investigate chemical systems. The fundamental principles of quantum mechanics are introduced and applied to understanding the structure and spectra of atoms and molecules. Specific topics include exact and approximate solutions to the Schrödinger equation, angular momentum, bonding and molecules, and spectroscopy. CHEM 3900 follows with an introduction to the behavior of ensembles of quantum particles (statistical mechanics), the laws of thermodynamics, and kinetic theory.",4,-1,-1,-1
949,CHEM,4210,Introduction to Inorganic Chemistry Research,"Research in inorganic chemistry involving both laboratory and library work, planned in consultation with a faculty member.",2,-1,-1,-1
950,CHEM,4330,Introduction to Analytical Chemistry Research,"Research in analytical chemistry involving both laboratory and library work, planned in consultation with a faculty member.",1,-1,-1,-1
951,CHEM,4500,Principles of Chemical Biology,"This course provides an introduction to both the fundamental biochemistry of living systems, including the structure and synthesis of biological macromolecules, and modern approaches that combine organic chemistry with emerging techniques from the chemical and life sciences to interrogate biological systems.",3,-1,-1,-1
952,CHEM,4610,Introduction to Organic Chemistry Research,"Research in organic chemistry involving both laboratory and library work, planned in consultation with a faculty member.",2,-1,-1,-1
953,CHEM,4770,Introduction to Physical Chemistry Research,"Research in physical chemistry involving both laboratory and library work, planned in consultation with a faculty member.",2,-1,-1,-1
954,CHEM,5110,Chemical Facilities Boot Camp,Discussion of and demonstration of facilities relevant to modern chemical research.,1,-1,-1,-1
955,CHEM,5120,Capstone Research Project,Supervision of Capstone Research Project.,1,-1,-1,-1
956,CHEM,6050,"Advanced Inorganic Chemistry I: Symmetry, Structure, and Reactivity","A group theoretical analysis of bonding in main group compounds will be followed by a survey of modern coordination chemistry, including rudimentary spectroscopy and magnetism, and inorganic reaction mechanisms.",4,-1,-1,-1
957,CHEM,6650,Advanced Organic Chemistry,"The course focuses on stereoelectronic properties of organic compounds, conformational analysis, reaction thermodynamics and kinetics, stereochemistry, reactive intermediates, and catalysis. Case studies will focus on applications of these concepts and corresponding techniques that lead to creative design of selective organic synthesis and mechanistic insights into complex organic transformations. A particular emphasis is on the development of chemical and mechanistic intuition that will facilitate the students' laboratory research efforts.",4,-1,-1,-1
958,CHEM,6700,Fundamental Principles of Polymer Chemistry,Emphasizes general concepts and fundamental principles of polymer chemistry.,4,-1,-1,-1
959,CHEM,7870,Mathematical Methods of Physical Chemistry,"This course will provide the mathematical background needed for graduate level study of topics in physical chemistry, such as quantum mechanics and statistical mechanics, as well as a set of analytical and computational tools useful for research in both experimental and theoretical physical chemistry. The goal of this course is to bridge the gap between the analytical techniques taught in introductory courses and the computational (and visualization) methods required for modern research problems. Topics explored will include: Scientific Programming and Visualization, Numerical Solution of the Schrodinger Equation, Variational Methods and Optimization Techniques, Self-Consistent Field Solutions to the Hartree-Fock Equations, Stochastic/Monte Carlo Methods, 2D Ising Model, Molecular Dynamics, and Special Topics in Machine Learning and Data Analysis.",4,-1,-1,-1
960,CHEM,7930,Quantum Mechanics I,Fundamental concepts in quantum mechanics. Topics will include: review of classical mechanics (Lagrangians and Hamiltonians); probability in classical and quantum mechanics; the mathematical language of quantum mechanics; Schrödinger equation; simple 1D applications; theory of angular momentum; QM in the continuum; variational principle and time-independent perturbation theory; semiclassical (WKB) theory.,4,-1,-1,-1
961,CHEME,2880,Biomolecular Engineering: Fundamentals and Applications,"An introduction to modern biology including aspects of biochemistry and molecular and cellular biology intended for students with no significant background in this area. An emphasis on practical applications of this knowledge in a variety of settings including the production of industrial enzymes, pharmaceuticals, and biologics.",3,-1,-1,-1
962,CHEME,3130,Chemical Engineering Thermodynamics,"Studies the first and second laws and their consequences for chemical systems. Covers thermodynamic properties of pure fluids, solids, and mixtures; phase and chemical reaction equilibrium; heat effects in batch and flow processes; and power cycles and refrigeration.",3,4,1,-1
963,CHEME,3240,Heat and Mass Transfer,"Fundamentals of heat and mass transfer. Macroscopic and microscopic balances. Applications to problems involving conduction, convection, and diffusion.",3,3,4,-1
964,CHEME,4130,Introduction to Nuclear Science and Engineering,"For description, see CHEME 4130.",3,-1,-1,-1
965,CHEME,4320,Chemical Engineering Laboratory,"Laboratory experiments in fluid dynamics, heat transfer, mass transfer, separations, process control, and other unit operations fundamental to large-scale chemical processing. Data collection, analysis, and interpretation. Technical report writing. Process design and scale-up based on pilot-plant data.",6,-1,-1,-1
966,CHEME,4610,Concepts of Chemical Engineering Product Design and Lean Manufacturing,"Chemical products range from specialty chemicals, biologic based products, to electromechanical devices that perform chemical transformations. This course integrates the steps of chemical product design from brainstorming and concept selection through design and manufacturing while recognizing the overlap with Lean operating principles. Students will be taught house of quality, robust design, failure modes and effects analysis, and learn to apply Lean Manufacturing principles. Other topics include multi-generational product planning, FMEA, sustainability and product life-cycle analysis, basic economic evaluations, process mapping, cycle time content and balance, lead-time assessment and management, quality performance analysis and remediation, demand/takt time analysis and relation to demonstrated process capacity, process stability assessment, six sigma, entrepreneurship and new business development, as well as patents, and intellectual property.  Case studies will illustrate concepts.",3,-1,-1,-1
967,CHEME,4840,Microchemical and Microfluidic Systems,"Principles of chemical kinetics, thermodynamics, and transport phenomena applied to microchemical and microfluidic systems. Applications in distributed chemical production, portable power, micromixing, separations, and chemical and biological sensing and analysis. Fabrication approaches (contrasted with microelectronics), transport phenomena at small dimensions, modeling challenges, system integration, case studies.",3,-1,-1,-1
968,CHEME,4880,"Global Food, Energy, and Water Nexus – Engage the US, China, and India for Sustainability","This course is offered by four Departments at Cornell, in collaboration with two Universities in China and India. Video conferencing will be used to connect classrooms in the three countries in real time. Important issues related to the food, energy, and water nexus and its implications for nutrition security, one health, environmental sustainability, and economic development the US, China, India, and other countries will be described. Challenges associated with these issues will be evaluated and strategies to address them will be proposed. Engagement of these countries with each other and the rest of the world will be explored. The course serves as a platform for students from Cornell, China, and India to learn from and interact with each other in the same class, and to share their thinking, creativity, and perspectives on these issues.",3,-1,-1,-1
969,CHEME,4900,Undergraduate Projects in Chemical Engineering,Research or studies on special problems in chemical engineering.,1,-1,-1,-1
970,CHEME,4980,Design and Testing of the Chemical Engineering Car,"Research, design, and construct a small chemical-powered model car. Participate in team-oriented hands-on construction of a car powered with a chemical energy source that will carry a specified load a given distance and stop. The AIChE Student Chapter enters it in the AIChE Regional Conference to qualify and compete in the organization's national conference competition.",3,-1,-1,-1
971,CHEME,4990,Senior Seminar,"Students attend seminars of their selection and write one-page summaries. Eligible seminars include all listings at ""Colloquia and Seminars in Physics and Related Fields,"" which includes the weekly seminars in, for example, Chemical and Biomolecular Engineering, Chemistry and Chemical Biology, Earth and Atmospheric Sciences, History and Ethics of Engineering, and Materials Science and Engineering.",1,-1,-1,-1
972,CHEME,4998,International Research Internship,Research or studies on special problems in chemical engineering for visiting international students.,6,-1,-1,-1
973,CHEME,5200,Fundamentals of Chemical Engineering,"Specifically developed for the ChemE M.Eng. program through distance learning and lectures an overview and quantitative analyses of chemical engineering principles including mass and energy balance, thermodynamics, reactions, and transport with an emphasis on the application of mathematical techniques to chemical engineering analysis.",2,-1,-1,-1
974,CHEME,5210,Industrial Heat Transfer Design and Application,"",1,-1,-1,-1
975,CHEME,5211,Process Rotating Machinery Design and Application,"",1,-1,-1,-1
976,CHEME,5320,"Glass: Structure, Properties and Modern Applications","Course develops a foundational understanding of the glassy state and nature of the glass transition. Introduces phenomenology, chemistry and structure of key oxide glass families, with an emphasis on silicate glasses and the interaction of oxide components. Recent advances in glass relaxation and the implications of the statistical nature of glass structure are also discussed. Contemporary and emerging applications in optical communication, displays, and electronics packaging are explored within the context of key optical, mechanical and thermal properties.  Students will gain an understanding of modern glass theory, familiarity with glass technology, and practical know-how of a glass ""power user"".",3,-1,-1,-1
977,CHEME,5430,Bioprocess Engineering,"Discusses principles involved in using biomolecules (e.g., antibodies, enzymes, DNA) and living organisms (e.g., bacteria, yeast, tissue cultures) for engineering biological processes.  Examples will be taken from the following application areas: biopharmaceuticals, biofuels, biomedical technologies, foods, and environmental processes.",3,-1,-1,-1
978,CHEME,5650,Design Project,"Design study and economic evaluation of a chemical processing facility, alternative methods of manufacture, raw-material preparation, food processing, waste disposal, or some other aspect of chemical processing.",1,-1,-1,-1
